id,name,avgbuyout,sellprice,profession,quality
76094,Alchemist's Rejuvenation,750.0,250.0,alchemy,common
212262,Frontline Potion,,1000.0,alchemy,common
191353,Potion of Frozen Fatality,,3000.0,alchemy,common
191384,Aerated Mana Potion,,1000.0,alchemy,common
197720,Aerated Phial of Quick Hands,,3000.0,alchemy,common
152638,Flask of the Currents,16930000.0,2500.0,alchemy,common
76088,Flask of Winter's Bite,989999.0,2500.0,alchemy,common
212244,Cavedweller's Delight,,1000.0,alchemy,common
152640,Flask of the Vast Horizon,16399998.0,2500.0,alchemy,common
152641,Flask of the Undertow,18309997.0,2500.0,alchemy,common
171268,Spiritual Mana Potion,,2500.0,alchemy,common
109221,Draenic Channeled Mana Potion,12000.0,5000.0,alchemy,common
87872,Desecrated Oil,500000.0,250.0,alchemy,common
58092,Elixir of the Cobra,75000.0,200.0,alchemy,common
58094,Elixir of Impossible Accuracy,127619.0,5000.0,alchemy,common
212256,Grotesque Vial,,1000.0,alchemy,common
212255,Grotesque Vial,,1000.0,alchemy,common
76084,Flask of Spring Blossoms,1238883.0,2500.0,alchemy,common
76085,Flask of the Warm Sun,1512223.0,2500.0,alchemy,common
3928,Superior Healing Potion,200.0,250.0,alchemy,common
6149,Greater Mana Potion,4900.0,300.0,alchemy,common
112090,Transmorphic Tincture,350000.0,2500.0,alchemy,common
212247,Slumbering Soul Serum,,1000.0,alchemy,common
191333,Phial of Glacial Fury,,4000.0,alchemy,common
152503,Potion of Concealment,169000.0,2500.0,alchemy,common
127849,Flask of the Countless Armies,4027498.0,2500.0,alchemy,common
58143,Prismatic Elixir,72500.0,5000.0,alchemy,common
141323,Wild Transmutation,,,alchemy,common
9088,Gift of Arthas,,250.0,alchemy,common
191369,Potion of Withering Vitality,,3000.0,alchemy,common
191505,Exultant Incense,,1000.0,alchemy,common
171273,Potion of Spectral Intellect,,2500.0,alchemy,common
169451,Abyssal Healing Potion,777000.0,1200.0,alchemy,common
127850,Flask of Ten Thousand Scars,4344999.0,2500.0,alchemy,common
212301,Flask of Saving Graces,,1000.0,alchemy,common
191336,Phial of Static Empowerment,,4000.0,alchemy,common
152494,Coastal Healing Potion,618000.0,1200.0,alchemy,common
152615,Astral Healing Potion,985000.0,1200.0,alchemy,common
76095,Potion of Mogu Power,15593.0,2500.0,alchemy,common
109123,Crescent Oil,122531.0,300.0,alchemy,common
22831,Elixir of Major Agility,1800000.0,4000.0,alchemy,common
13454,Greater Arcane Elixir,20000.0,750.0,alchemy,common
3828,Elixir of Detect Lesser Invisibility,,150.0,alchemy,common
152495,Coastal Mana Potion,452000.0,6000.0,alchemy,common
58090,Earthen Potion,4999.0,5000.0,alchemy,common
40212,Potion of Wild Magic,75500.0,5000.0,alchemy,common
34440,Mad Alchemist's Potion,4602.0,7000.0,alchemy,common
13462,Purification Potion,1739999.0,750.0,alchemy,common
127841,Skystep Potion,981000.0,2500.0,alchemy,common
13458,Greater Nature Protection Potion,1123184.0,750.0,alchemy,common
3825,Elixir of Fortitude,26033.0,110.0,alchemy,common
2457,Elixir of Minor Agility,1183435.0,15.0,alchemy,common
191508,Fervid Incense,,1000.0,alchemy,common
171301,Spiritual Anti-Venom,,2500.0,alchemy,common
58148,Elixir of the Master,99500.0,5000.0,alchemy,common
54464,Random Volatile Element,,,alchemy,common
13512,Flask of Supreme Power,990000.0,1250.0,alchemy,common
28100,Volatile Healing Potion,2000.0,1000.0,alchemy,common
6052,Nature Protection Potion,900.0,300.0,alchemy,common
8949,Elixir of Agility,481535.0,200.0,alchemy,common
171266,Potion of the Hidden Spirit,,2500.0,alchemy,common
109222,Draenic Mana Potion,5592.0,6000.0,alchemy,common
76096,Darkwater Potion,3982500.0,2500.0,alchemy,common
58144,Elixir of Mighty Speed,,200.0,alchemy,common
20004,Mighty Troll's Blood Elixir,,1000.0,alchemy,common
3386,Potion of Curing,,35.0,alchemy,common
212298,Vicious Flask of the Wrecking Ball,,1000.0,alchemy,common
76086,Flask of Falling Leaves,445000.0,2500.0,alchemy,common
13510,Flask of the Titans,,1250.0,alchemy,common
28104,Elixir of Mastery,201997.0,2500.0,alchemy,common
9224,Elixir of Demonslaying,50000.0,700.0,alchemy,common
212307,Phial of Concentrated Ingenuity,,1000.0,alchemy,common
191330,Phial of Charged Isolation,,4000.0,alchemy,common
152559,Potion of Rising Death,1797497.0,2500.0,alchemy,common
163222,Battle Potion of Intellect,3949996.0,2500.0,alchemy,common
168506,Potion of Focused Resolve,2648999.0,2500.0,alchemy,common
76078,Elixir of the Rapids,99696.0,200.0,alchemy,common
76092,Potion of Focus,4900.0,5000.0,alchemy,common
40073,Elixir of Mighty Strength,4099.0,5000.0,alchemy,common
46379,Flask of Stoneblood,99999.0,2500.0,alchemy,common
22834,Elixir of Major Defense,50000.0,4000.0,alchemy,common
8956,Oil of Immolation,,200.0,alchemy,common
5634,Free Action Potion,1669795.0,75.0,alchemy,common
3385,Lesser Mana Potion,1086.0,30.0,alchemy,common
5996,Elixir of Water Breathing,99999.0,95.0,alchemy,common
212250,Draught of Silent Footfalls,,1000.0,alchemy,common
212253,Draught of Shocking Revelations,,1000.0,alchemy,common
212295,Vicious Flask of Manifested Fury,,1000.0,alchemy,common
212299,Flask of Saving Graces,,1000.0,alchemy,common
191374,Residual Neural Channeling Agent,,3000.0,alchemy,common
191377,Delicate Suspension of Spores,,3000.0,alchemy,common
191372,Residual Neural Channeling Agent,,3000.0,alchemy,common
152561,Potion of Replenishment,2375000.0,2500.0,alchemy,common
109223,Healing Tonic,10200.0,1200.0,alchemy,common
57099,Mysterious Potion,99000.0,250.0,alchemy,common
67438,Flask of Flowing Water,30000.0,2500.0,alchemy,common
40070,Spellpower Elixir,74998.0,5000.0,alchemy,common
13444,Major Mana Potion,2200.0,1500.0,alchemy,common
18294,Elixir of Greater Water Breathing,749999.0,250.0,alchemy,common
10592,Catseye Elixir,52500.0,150.0,alchemy,common
3383,Elixir of Wisdom,44800.0,100.0,alchemy,common
191499,Sagacious Incense,,1000.0,alchemy,common
171263,Potion of Soul Purity,,2500.0,alchemy,common
163082,Coastal Rejuvenation Potion,191500.0,250.0,alchemy,common
127840,Skaggldrynk,550000.0,2500.0,alchemy,common
109147,Draenic Intellect Flask,79998.0,2500.0,alchemy,common
58093,Elixir of Deep Earth,58000.0,1500.0,alchemy,common
212292,Vicious Flask of Honor,,1000.0,alchemy,common
212316,Phial of Bountiful Seasons,,1000.0,alchemy,common
191368,Potion of Chilled Clarity,,3000.0,alchemy,common
191328,Iced Phial of Corrupting Rage,,4000.0,alchemy,common
191366,Potion of Chilled Clarity,,3000.0,alchemy,common
171264,Potion of Shaded Sight,,2500.0,alchemy,common
163224,Battle Potion of Strength,1977525.0,2500.0,alchemy,common
168500,Superior Battle Potion of Strength,2366900.0,2500.0,alchemy,common
76087,Flask of the Earth,990000.0,2500.0,alchemy,common
58084,Ghost Elixir,100000.0,5000.0,alchemy,common
67415,Draught of War,5900.0,6000.0,alchemy,common
22850,Super Rejuvenation Potion,5000.0,7000.0,alchemy,common
22836,Major Dreamless Sleep Potion,4999.0,5000.0,alchemy,common
22824,Elixir of Major Strength,56445.0,2500.0,alchemy,common
22825,Elixir of Healing Power,5000.0,2500.0,alchemy,common
9264,Elixir of Shadow Power,,35.0,alchemy,common
151608,Lightblood Elixir,4255000.0,1200.0,alchemy,common
212268,Potion of the Reborn Cheetah,,1000.0,alchemy,common
212313,Phial of Enhanced Ambidextry,,1000.0,alchemy,common
127846,Leytorrent Potion,1086000.0,5000.0,alchemy,common
76083,Monk's Elixir,2035.0,5000.0,alchemy,common
116268,Draenic Invisibility Potion,390000.0,500.0,alchemy,common
33448,Runic Mana Potion,5565.0,6000.0,alchemy,common
40093,Indestructible Potion,1800.0,5000.0,alchemy,common
46377,Flask of Endless Rage,86500.0,2500.0,alchemy,common
22848,Elixir of Empowerment,,7000.0,alchemy,common
13447,Elixir of the Sages,20000.0,1250.0,alchemy,common
13453,Elixir of Brute Force,19700.0,1250.0,alchemy,common
13442,Mighty Rage Potion,66666.0,500.0,alchemy,common
9206,Elixir of Giants,60000.0,700.0,alchemy,common
191398,Potion of Gusts,,3000.0,alchemy,common
191348,Charged Phial of Alacrity,,4000.0,alchemy,common
171270,Potion of Spectral Agility,,2500.0,alchemy,common
152557,Steelskin Potion,1689990.0,2500.0,alchemy,common
168489,Superior Battle Potion of Agility,2249500.0,2500.0,alchemy,common
127837,Draught of Raw Magic,120336.0,2500.0,alchemy,common
109145,Draenic Agility Flask,148000.0,2500.0,alchemy,common
109226,Draenic Rejuvenation Potion,8900.0,250.0,alchemy,common
116271,Draenic Water Breathing Elixir,408842.0,250.0,alchemy,common
22830,Elixir of the Searching Eye,1243620.0,4000.0,alchemy,common
212289,Vicious Flask of Classical Spirits,,1000.0,alchemy,common
212309,Phial of Truesight,,1000.0,alchemy,common
212269,Flask of Tempered Aggression,,1000.0,alchemy,common
187802,Cosmic Healing Potion,,2000.0,alchemy,common
152560,Potion of Bursting Blood,3640008.0,2500.0,alchemy,common
127835,Ancient Mana Potion,45757.0,6000.0,alchemy,common
109217,Draenic Agility Potion,46199.0,2500.0,alchemy,common
109218,Draenic Intellect Potion,50000.0,2500.0,alchemy,common
109220,Draenic Versatility Potion,33800.0,2500.0,alchemy,common
76076,Mad Hozen Elixir,120480.0,200.0,alchemy,common
40081,Potion of Nightmares,3300.0,5000.0,alchemy,common
22849,Ironshield Potion,,7000.0,alchemy,common
39671,Resurgent Healing Potion,10000.0,5000.0,alchemy,common
9179,Elixir of Greater Intellect,25000.0,1000.0,alchemy,common
6049,Fire Protection Potion,210000.0,170.0,alchemy,common
212263,Tempered Potion,,1000.0,alchemy,common
212314,Phial of Bountiful Seasons,,1000.0,alchemy,common
191334,Phial of Glacial Fury,,4000.0,alchemy,common
76090,Potion of the Mountains,4983.0,5000.0,alchemy,common
58089,Elixir of the Naga,40000.0,5000.0,alchemy,common
39666,Elixir of Mighty Agility,9400.0,5000.0,alchemy,common
46376,Flask of the Frost Wyrm,62500.0,2500.0,alchemy,common
40067,Icy Mana Potion,4000.0,5000.0,alchemy,common
22839,Destruction Potion,,5000.0,alchemy,common
22826,Sneaking Potion,5000.0,2500.0,alchemy,common
28103,Adept's Elixir,10000.0,2500.0,alchemy,common
13452,Elixir of the Mongoose,249000.0,1250.0,alchemy,common
3389,Elixir of Defense,316158.0,40.0,alchemy,common
211878,Algari Healing Potion,,1000.0,alchemy,common
207021,Dreamwalker's Healing Potion,,1000.0,alchemy,common
171349,Potion of Phantom Fire,,2500.0,alchemy,common
171350,Potion of Divine Awakening,,2500.0,alchemy,common
183823,Potion of Unhindered Passing,,2500.0,alchemy,common
168498,Superior Battle Potion of Intellect,2377500.0,2500.0,alchemy,common
33447,Runic Healing Potion,11000.0,6000.0,alchemy,common
44331,Elixir of Lightning Speed,125000.0,5000.0,alchemy,common
22841,Major Fire Protection Potion,16419996.0,5000.0,alchemy,common
22845,Major Arcane Protection Potion,17489998.0,5000.0,alchemy,common
3390,Elixir of Lesser Agility,10000000.0,35.0,alchemy,common
191326,Phial of Icy Preservation,,4000.0,alchemy,common
191394,Potion of the Hushed Zephyr,,3000.0,alchemy,common
191351,Potion of Frozen Fatality,,3000.0,alchemy,common
163223,Battle Potion of Agility,3826000.0,2500.0,alchemy,common
163225,Battle Potion of Stamina,372000.0,2500.0,alchemy,common
168653,Greater Flask of the Vast Horizon,8239999.0,2500.0,alchemy,common
76079,Elixir of Peace,47800.0,5000.0,alchemy,common
40213,Mighty Arcane Protection Potion,,5000.0,alchemy,common
13506,Potion of Petrification,,1250.0,alchemy,common
22823,Elixir of Camouflage,60000.0,2500.0,alchemy,common
13445,Elixir of Superior Defense,60000.0,500.0,alchemy,common
9187,Elixir of Greater Agility,1999999.0,600.0,alchemy,common
9155,Arcane Elixir,,400.0,alchemy,common
2456,Minor Rejuvenation Potion,10.0,15.0,alchemy,common
211879,Algari Healing Potion,,1000.0,alchemy,common
212308,Phial of Truesight,,1000.0,alchemy,common
191379,Refreshing Healing Potion,,1000.0,alchemy,common
191318,Phial of the Eye in the Storm,,4000.0,alchemy,common
191502,Somniferous Incense,,1000.0,alchemy,common
171275,Potion of Spectral Strength,,2500.0,alchemy,common
109155,Greater Draenic Intellect Flask,134998.0,2500.0,alchemy,common
40079,Lesser Flask of Toughness,,875.0,alchemy,common
46378,Flask of Pure Mojo,50000.0,2500.0,alchemy,common
31677,Fel Mana Potion,,5000.0,alchemy,common
22851,Flask of Fortification,,5000.0,alchemy,common
22861,Flask of Blinding Light,350000.0,5000.0,alchemy,common
31676,Fel Regeneration Potion,,5000.0,alchemy,common
32839,Cauldron of Major Arcane Protection,,750.0,alchemy,common
9197,Elixir of Dream Vision,999000.0,600.0,alchemy,common
2454,Elixir of Lion's Strength,4900.0,20.0,alchemy,common
212239,Algari Mana Potion,,1000.0,alchemy,common
212272,Flask of Tempered Swiftness,,1000.0,alchemy,common
212275,Flask of Tempered Versatility,,1000.0,alchemy,common
212281,Flask of Alchemical Chaos,,1000.0,alchemy,common
191382,Elemental Potion of Ultimate Power,,4000.0,alchemy,common
191375,Delicate Suspension of Spores,,3000.0,alchemy,common
171352,Potion of Empowered Exorcisms,,2500.0,alchemy,common
171370,Potion of Specter Swiftness,,2500.0,alchemy,common
109152,Draenic Stamina Flask,49500.0,2500.0,alchemy,common
76077,Elixir of Weaponry,70000.0,5000.0,alchemy,common
116266,Draenic Swiftness Potion,357999.0,2500.0,alchemy,common
116276,Draenic Living Action Potion,208072.0,600.0,alchemy,common
40076,Guru's Elixir,15000.0,5000.0,alchemy,common
22838,Haste Potion,,5000.0,alchemy,common
20002,Greater Dreamless Sleep Potion,,1000.0,alchemy,common
13459,Greater Shadow Protection Potion,,750.0,alchemy,common
3826,Major Troll's Blood Elixir,2500.0,105.0,alchemy,common
45621,Elixir of Minor Accuracy,10000.0,95.0,alchemy,common
2455,Minor Mana Potion,994.0,10.0,alchemy,common
191325,Phial of Icy Preservation,,4000.0,alchemy,common
171274,Potion of Spectral Stamina,,2500.0,alchemy,common
171278,Spectral Flask of Stamina,,2500.0,alchemy,common
171351,Potion of Deathly Fixation,,2500.0,alchemy,common
166270,Potion of the Unveiling Eye,3276119.0,2500.0,alchemy,common
109160,Greater Draenic Stamina Flask,104298.0,2500.0,alchemy,common
44325,Elixir of Accuracy,9900.0,5000.0,alchemy,common
9233,Elixir of Detect Demon,509000.0,500.0,alchemy,common
21546,Elixir of Greater Firepower,,35.0,alchemy,common
5631,Rage Potion,5668.0,30.0,alchemy,common
212245,Slumbering Soul Serum,,1000.0,alchemy,common
212248,Draught of Silent Footfalls,,1000.0,alchemy,common
212278,Flask of Tempered Mastery,,1000.0,alchemy,common
191332,Phial of Charged Isolation,,4000.0,alchemy,common
191321,Phial of Still Air,,4000.0,alchemy,common
171271,Potion of Hardened Shadows,,2500.0,alchemy,common
152496,Demitri's Draught of Deception,933000.0,2500.0,alchemy,common
168499,Superior Battle Potion of Stamina,1001466.0,2500.0,alchemy,common
169300,Potion of Wild Mending,749000.0,2500.0,alchemy,common
40097,Elixir of Protection,171884.0,5000.0,alchemy,common
40217,Mighty Shadow Protection Potion,,5000.0,alchemy,common
44329,Elixir of Mighty Intellect,99999.0,5000.0,alchemy,common
44332,Elixir of Mighty Thoughts,2500.0,5000.0,alchemy,common
22854,Flask of Relentless Assault,,5000.0,alchemy,common
3387,Limited Invulnerability Potion,,30.0,alchemy,common
4623,Lesser Stoneshield Potion,,375.0,alchemy,common
6452,Anti-Venom,,28.0,alchemy,common
4596,Discolored Healing Potion,405.0,25.0,alchemy,common
3382,Weak Troll's Blood Elixir,23559.0,10.0,alchemy,common
212257,Potion of Unwavering Focus,,1000.0,alchemy,common
212266,Potion of the Reborn Cheetah,,1000.0,alchemy,common
191504,Somniferous Incense,,1000.0,alchemy,common
171272,Potion of Spiritual Clarity,,2500.0,alchemy,common
176811,Potion of Sacrificial Anima,,2500.0,alchemy,common
109156,Greater Draenic Strength Flask,124431.0,2500.0,alchemy,common
40077,Crazy Alchemist's Potion,7500.0,2500.0,alchemy,common
40214,Mighty Fire Protection Potion,,5000.0,alchemy,common
44328,Elixir of Mighty Defense,10000.0,5000.0,alchemy,common
22844,Major Nature Protection Potion,14880923.0,5000.0,alchemy,common
22853,Flask of Mighty Versatility,107625.0,5000.0,alchemy,common
22828,Insane Strength Potion,,2500.0,alchemy,common
18253,Major Rejuvenation Potion,10000.0,1000.0,alchemy,common
13456,Greater Frost Protection Potion,,750.0,alchemy,common
13461,Greater Arcane Protection Potion,,750.0,alchemy,common
19440,Powerful Anti-Venom,,500.0,alchemy,common
8951,Elixir of Greater Defense,2077847.0,200.0,alchemy,common
6050,Frost Protection Potion,,300.0,alchemy,common
6048,Shadow Protection Potion,998798.0,100.0,alchemy,common
3388,Strong Troll's Blood Elixir,549695.0,40.0,alchemy,common
5997,Elixir of Minor Defense,1090.0,5.0,alchemy,common
151609,Tears of the Naaru,887000.0,1200.0,alchemy,common
212282,Flask of Alchemical Chaos,,1000.0,alchemy,common
212242,Cavedweller's Delight,,1000.0,alchemy,common
212311,Phial of Enhanced Ambidextry,,1000.0,alchemy,common
191349,Charged Phial of Alacrity,,4000.0,alchemy,common
191500,Sagacious Incense,,1000.0,alchemy,common
197721,Aerated Phial of Quick Hands,,3000.0,alchemy,common
116979,Blackwater Anti-Venom,477.0,,alchemy,common
76075,Mantid Elixir,50000.0,1500.0,alchemy,common
40078,Elixir of Mighty Fortitude,4500.0,5000.0,alchemy,common
40109,Elixir of Mighty Mageblood,15000.0,5000.0,alchemy,common
22835,Elixir of Major Shadow Power,,6000.0,alchemy,common
22842,Major Frost Protection Potion,16889998.0,5000.0,alchemy,common
22847,Major Holy Protection Potion,18500000.0,5000.0,alchemy,common
22871,Shrouding Potion,88500.0,5000.0,alchemy,common
9144,Wildvine Potion,48800.0,250.0,alchemy,common
17708,Elixir of Frost Power,99900.0,35.0,alchemy,common
2458,Elixir of Minor Fortitude,7692.0,15.0,alchemy,common
212251,Draught of Shocking Revelations,,1000.0,alchemy,common
212254,Grotesque Vial,,1000.0,alchemy,common
212305,Phial of Concentrated Ingenuity,,1000.0,alchemy,common
191360,Bottled Putrescence,,2000.0,alchemy,common
127836,Ancient Rejuvenation Potion,71000.0,250.0,alchemy,common
109219,Draenic Strength Potion,47579.0,2500.0,alchemy,common
116981,Fire Ammonite Oil,6999.0,,alchemy,common
76080,Elixir of Perfection,17805.0,5000.0,alchemy,common
40072,Elixir of Versatility,4500.0,5000.0,alchemy,common
22837,Heroic Potion,,5000.0,alchemy,common
22846,Major Shadow Protection Potion,12880000.0,5000.0,alchemy,common
22866,Flask of Pure Death,150000.0,5000.0,alchemy,common
32849,Cauldron of Major Fire Protection,,750.0,alchemy,common
32850,Cauldron of Major Frost Protection,,750.0,alchemy,common
31679,Fel Strength Elixir,,3000.0,alchemy,common
32067,Elixir of Draenic Wisdom,12375.0,1500.0,alchemy,common
28101,Unstable Mana Potion,1400.0,1500.0,alchemy,common
32062,Elixir of Major Fortitude,14763.0,1250.0,alchemy,common
32063,Earthen Elixir,,1500.0,alchemy,common
212273,Flask of Tempered Swiftness,,1000.0,alchemy,common
207040,Potion of Withering Dreams,,3000.0,alchemy,common
191371,Potion of Withering Vitality,,3000.0,alchemy,common
191370,Potion of Withering Vitality,,3000.0,alchemy,common
191388,Elemental Potion of Power,,3000.0,alchemy,common
76081,Elixir of Mirrors,2500.0,5000.0,alchemy,common
40087,Powerful Rejuvenation Potion,4500.0,5000.0,alchemy,common
44330,Elixir of Armor Piercing,10000.0,5000.0,alchemy,common
32851,Cauldron of Major Nature Protection,,750.0,alchemy,common
32068,Elixir of Ironskin,,1500.0,alchemy,common
20007,Mageblood Elixir,,1000.0,alchemy,common
5633,Great Rage Potion,464235.0,150.0,alchemy,common
6453,Strong Anti-Venom,,62.0,alchemy,common
6051,Holy Protection Potion,200.0,62.0,alchemy,common
212252,Draught of Shocking Revelations,,1000.0,alchemy,common
191323,Phial of Still Air,,4000.0,alchemy,common
191340,Phial of Tepid Versatility,,4000.0,alchemy,common
191373,Residual Neural Channeling Agent,,3000.0,alchemy,common
191503,Somniferous Incense,,1000.0,alchemy,common
171269,Spiritual Rejuvenation Potion,,2500.0,alchemy,common
109148,Draenic Strength Flask,85000.0,2500.0,alchemy,common
109153,Greater Draenic Agility Flask,161599.0,2500.0,alchemy,common
40216,Mighty Nature Protection Potion,,5000.0,alchemy,common
44327,Elixir of Deadly Strikes,4900.0,5000.0,alchemy,common
22840,Elixir of Major Mageblood,,6000.0,alchemy,common
212246,Slumbering Soul Serum,,1000.0,alchemy,common
212258,Potion of Unwavering Focus,,1000.0,alchemy,common
212261,Frontline Potion,,1000.0,alchemy,common
212260,Frontline Potion,,1000.0,alchemy,common
